
=== Experiment 13: full David-review stopping-rule comparison ===
# T4 fits OLS to the preceding log-dQ window and compares the current trend-extrapolation residual with the fitted-residual scale. T5 applies CUSUM/SR to the same standardized residual stream; h is calibrated once on ER nulls, rather than swept per real graph.
# `mad` uses 1.4826*MAD and suppresses a near-flat window when its relative scale is below 1e-6; `defer` begins testing only after no mergeable singleton community remains. BM-native-stop is separate: it tests Eq. 6 on CNM's selected community pair with adaptive tau.
dataset	method	modifier	W	parameter	sided	stop_at	of_merges	stop_frac	K_all	K_ge3	Q	F1	NMI	frac_nonsingleton
    ...5000 merges, heap 71026, nbr_entries 89736 (max deg 67), 31 ms
    ...5000 merges, heap 70739, nbr_entries 89450 (max deg 56), 25 ms
    ...5000 merges, heap 70811, nbr_entries 89440 (max deg 52), 27 ms
    ...5000 merges, heap 69124, nbr_entries 90102 (max deg 57), 27 ms
    ...5000 merges, heap 69775, nbr_entries 90366 (max deg 90), 26 ms
    ...5000 merges, heap 69119, nbr_entries 89932 (max deg 60), 29 ms
    ...5000 merges, heap 71568, nbr_entries 90000 (max deg 43), 31 ms
    ...5000 merges, heap 68499, nbr_entries 90382 (max deg 46), 30 ms
    ...5000 merges, heap 69601, nbr_entries 90090 (max deg 51), 26 ms
    ...5000 merges, heap 69609, nbr_entries 90546 (max deg 47), 27 ms
# CUSUM calibration (delta=1, W=15): selected h=50.000 by the >=90% mean-ARL rule.
ER-10000	T4-detrend-2sided	none	10	1.000	2	10.800	9986.900	0.001	9989.200	0.000	0.000	NA	NA	0.002
ER-10000	T4-detrend-1sided	none	10	2.000	1	17.500	9986.900	0.002	9982.500	0.000	0.000	NA	NA	0.004
ER-10000	T4-detrend-2sided	none	10	2.000	2	13.900	9986.900	0.001	9986.100	0.000	0.000	NA	NA	0.003
ER-10000	T4-detrend-1sided	none	10	3.000	1	21.200	9986.900	0.002	9978.800	0.000	0.000	NA	NA	0.004
ER-10000	T4-detrend-2sided	none	10	3.000	2	21.200	9986.900	0.002	9978.800	0.000	0.000	NA	NA	0.004
ER-10000	T4-detrend-1sided	none	15	1.000	1	24.000	9986.900	0.002	9976.000	0.100	0.000	NA	NA	0.005
ER-10000	T4-detrend-2sided	none	15	1.000	2	15.400	9986.900	0.002	9984.600	0.000	0.000	NA	NA	0.003
ER-10000	T4-detrend-1sided	none	15	2.000	1	29.500	9986.900	0.003	9970.500	0.100	0.000	NA	NA	0.006
ER-10000	T4-detrend-2sided	none	15	2.000	2	18.300	9986.900	0.002	9981.700	0.000	0.000	NA	NA	0.004
ER-10000	T4-detrend-1sided	none	15	3.000	1	43.600	9986.900	0.004	9956.400	0.100	0.001	NA	NA	0.009
ER-10000	T4-detrend-2sided	none	15	3.000	2	43.600	9986.900	0.004	9956.400	0.100	0.001	NA	NA	0.009
ER-10000	T4-detrend-1sided	none	20	1.000	1	28.400	9986.900	0.003	9971.600	0.100	0.000	NA	NA	0.006
ER-10000	T4-detrend-2sided	none	20	1.000	2	20.000	9986.900	0.002	9980.000	0.000	0.000	NA	NA	0.004
ER-10000	T4-detrend-1sided	none	20	2.000	1	47.200	9986.900	0.005	9952.800	0.200	0.001	NA	NA	0.009
ER-10000	T4-detrend-2sided	none	20	2.000	2	29.300	9986.900	0.003	9970.700	0.100	0.000	NA	NA	0.006
ER-10000	T4-detrend-1sided	none	20	3.000	1	57.200	9986.900	0.006	9942.800	0.200	0.001	NA	NA	0.011
ER-10000	T4-detrend-2sided	none	20	3.000	2	54.900	9986.900	0.005	9945.100	0.100	0.001	NA	NA	0.011
ER-10000	T5-cusum	none	15	50.000	1	9447.000	9986.900	0.946	553.000	411.700	0.242	NA	NA	1.000
ER-10000	T5-sr	none	15	50.000	1	36.500	9986.900	0.004	9963.500	0.100	0.001	NA	NA	0.007
ER-10000	T1-2sided-k1	defer	10	1.000	2	8348.200	9986.900	0.836	1651.800	1220.500	0.202	NA	NA	1.000
ER-10000	T2-short-1sided	defer	5	5.000	1	8504.800	9986.900	0.852	1495.200	1176.900	0.207	NA	NA	1.000
ER-10000	T3-diff-1sided	defer	15	3.000	1	8363.200	9986.900	0.837	1636.800	1215.400	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	10	1.000	1	8347.000	9986.900	0.836	1653.000	1217.900	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	10	1.000	2	8343.000	9986.900	0.835	1657.000	1218.700	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	10	2.000	1	8369.100	9986.900	0.838	1630.900	1218.500	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	10	2.000	2	8349.200	9986.900	0.836	1650.800	1221.100	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	10	3.000	1	8425.400	9986.900	0.844	1574.600	1210.100	0.205	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	10	3.000	2	8358.900	9986.900	0.837	1641.100	1221.600	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	15	1.000	1	8346.400	9986.900	0.836	1653.600	1219.300	0.202	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	15	1.000	2	8344.300	9986.900	0.836	1655.700	1219.400	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	15	2.000	1	8394.900	9986.900	0.841	1605.100	1214.200	0.204	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	15	2.000	2	8348.400	9986.900	0.836	1651.600	1218.600	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	15	3.000	1	8418.400	9986.900	0.843	1581.600	1198.600	0.205	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	15	3.000	2	8362.300	9986.900	0.837	1637.700	1211.000	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	20	1.000	1	8361.400	9986.900	0.837	1638.600	1221.100	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	20	1.000	2	8345.500	9986.900	0.836	1654.500	1219.900	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	20	2.000	1	8408.000	9986.900	0.842	1592.000	1213.900	0.204	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	20	2.000	2	8354.100	9986.900	0.837	1645.900	1213.800	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer	20	3.000	1	8534.500	9986.900	0.855	1465.500	1130.200	0.209	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer	20	3.000	2	8362.400	9986.900	0.837	1637.600	1209.300	0.203	NA	NA	1.000
ER-10000	T5-cusum	defer	15	50.000	1	9551.500	9986.900	0.956	448.500	372.800	0.245	NA	NA	1.000
ER-10000	T5-sr	defer	15	50.000	1	8385.900	9986.900	0.840	1614.100	1221.400	0.203	NA	NA	1.000
ER-10000	T1-2sided-k1	mad	10	1.000	2	10.400	9986.900	0.001	9989.600	0.000	0.000	NA	NA	0.002
ER-10000	T2-short-1sided	mad	5	5.000	1	2522.900	9986.900	0.253	7477.100	150.000	0.051	NA	NA	0.488
ER-10000	T3-diff-1sided	mad	15	3.000	1	4466.900	9986.900	0.447	5533.100	696.800	0.090	NA	NA	0.805
ER-10000	T4-detrend-1sided	mad	10	1.000	1	269.900	9986.900	0.027	9730.100	1.400	0.005	NA	NA	0.054
ER-10000	T4-detrend-2sided	mad	10	1.000	2	258.100	9986.900	0.026	9741.900	1.300	0.005	NA	NA	0.051
ER-10000	T4-detrend-1sided	mad	10	2.000	1	311.000	9986.900	0.031	9689.000	1.700	0.006	NA	NA	0.062
ER-10000	T4-detrend-2sided	mad	10	2.000	2	311.000	9986.900	0.031	9689.000	1.700	0.006	NA	NA	0.062
ER-10000	T4-detrend-1sided	mad	10	3.000	1	314.200	9986.900	0.031	9685.800	1.800	0.006	NA	NA	0.063
ER-10000	T4-detrend-2sided	mad	10	3.000	2	314.000	9986.900	0.031	9686.000	1.700	0.006	NA	NA	0.063
ER-10000	T4-detrend-1sided	mad	15	1.000	1	257.900	9986.900	0.026	9742.100	1.300	0.005	NA	NA	0.051
ER-10000	T4-detrend-2sided	mad	15	1.000	2	172.500	9986.900	0.017	9827.500	1.000	0.003	NA	NA	0.034
ER-10000	T4-detrend-1sided	mad	15	2.000	1	313.000	9986.900	0.031	9687.000	1.700	0.006	NA	NA	0.062
ER-10000	T4-detrend-2sided	mad	15	2.000	2	273.800	9986.900	0.027	9726.200	1.500	0.005	NA	NA	0.055
ER-10000	T4-detrend-1sided	mad	15	3.000	1	316.500	9986.900	0.032	9683.500	1.900	0.006	NA	NA	0.063
ER-10000	T4-detrend-2sided	mad	15	3.000	2	315.700	9986.900	0.032	9684.300	1.700	0.006	NA	NA	0.063
ER-10000	T4-detrend-1sided	mad	20	1.000	1	258.100	9986.900	0.026	9741.900	1.300	0.005	NA	NA	0.051
ER-10000	T4-detrend-2sided	mad	20	1.000	2	173.300	9986.900	0.017	9826.700	1.000	0.003	NA	NA	0.035
ER-10000	T4-detrend-1sided	mad	20	2.000	1	312.000	9986.900	0.031	9688.000	1.700	0.006	NA	NA	0.062
ER-10000	T4-detrend-2sided	mad	20	2.000	2	225.500	9986.900	0.023	9774.500	1.300	0.004	NA	NA	0.045
ER-10000	T4-detrend-1sided	mad	20	3.000	1	318.500	9986.900	0.032	9681.500	1.900	0.006	NA	NA	0.064
ER-10000	T4-detrend-2sided	mad	20	3.000	2	317.300	9986.900	0.032	9682.700	1.700	0.006	NA	NA	0.063
ER-10000	T5-cusum	mad	15	50.000	1	1991.700	9986.900	0.199	8008.300	50.500	0.040	NA	NA	0.393
ER-10000	T5-sr	mad	15	50.000	1	312.000	9986.900	0.031	9688.000	1.700	0.006	NA	NA	0.062
ER-10000	T1-2sided-k1	defer+mad	10	1.000	2	8349.700	9986.900	0.836	1650.300	1221.400	0.203	NA	NA	1.000
ER-10000	T2-short-1sided	defer+mad	5	5.000	1	8360.400	9986.900	0.837	1639.600	1219.800	0.203	NA	NA	1.000
ER-10000	T3-diff-1sided	defer+mad	15	3.000	1	8374.600	9986.900	0.839	1625.400	1220.900	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	10	1.000	1	8344.500	9986.900	0.836	1655.500	1218.400	0.202	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	10	1.000	2	8342.800	9986.900	0.835	1657.200	1218.700	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	10	2.000	1	8348.900	9986.900	0.836	1651.100	1214.700	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	10	2.000	2	8344.700	9986.900	0.836	1655.300	1218.600	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	10	3.000	1	8356.400	9986.900	0.837	1643.600	1212.500	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	10	3.000	2	8347.100	9986.900	0.836	1652.900	1217.700	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	15	1.000	1	8344.200	9986.900	0.836	1655.800	1218.700	0.202	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	15	1.000	2	8343.300	9986.900	0.835	1656.700	1219.100	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	15	2.000	1	8349.600	9986.900	0.836	1650.400	1215.100	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	15	2.000	2	8347.800	9986.900	0.836	1652.200	1216.000	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	15	3.000	1	8372.000	9986.900	0.838	1628.000	1200.200	0.204	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	15	3.000	2	8355.200	9986.900	0.837	1644.800	1211.300	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	20	1.000	1	8342.800	9986.900	0.835	1657.200	1217.100	0.202	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	20	1.000	2	8341.700	9986.900	0.835	1658.300	1218.200	0.202	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	20	2.000	1	8346.500	9986.900	0.836	1653.500	1213.800	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	20	2.000	2	8346.200	9986.900	0.836	1653.800	1213.900	0.203	NA	NA	1.000
ER-10000	T4-detrend-1sided	defer+mad	20	3.000	1	8367.700	9986.900	0.838	1632.300	1199.400	0.203	NA	NA	1.000
ER-10000	T4-detrend-2sided	defer+mad	20	3.000	2	8352.700	9986.900	0.836	1647.300	1209.300	0.203	NA	NA	1.000
ER-10000	T5-cusum	defer+mad	15	50.000	1	8502.200	9986.900	0.851	1497.800	1111.800	0.208	NA	NA	1.000
ER-10000	T5-sr	defer+mad	15	50.000	1	8348.500	9986.900	0.836	1651.500	1216.700	0.203	NA	NA	1.000
ER-10000	BM-native-stop	-	0	2.000	1	6302.100	9986.900	0.631	3697.900	1771.600	0.128	NA	NA	0.994
ER-10000	cm-baseline	-	0	1.000	1	0.000	9986.900	0.000	10000.000	0.000	-0.000	NA	NA	0.000
ER-10000	cm-baseline	-	0	5.000	1	0.000	9986.900	0.000	10000.000	0.000	-0.000	NA	NA	0.000
ER-10000	cm-baseline	-	0	10.000	1	0.000	9986.900	0.000	10000.000	0.000	-0.000	NA	NA	0.000
ER-10000	cm-baseline	-	0	50.000	1	0.000	9986.900	0.000	10000.000	0.000	-0.000	NA	NA	0.000
    ...5000 merges, heap 928213, nbr_entries 1841728 (max deg 549), 157 ms
    ...10000 merges, heap 937116, nbr_entries 1830024 (max deg 547), 165 ms
    ...15000 merges, heap 3533688, nbr_entries 1810314 (max deg 2407), 270 ms
    [compact] 20000049 -> 889628 live entries after 19785 merges (1296 ms)
    ...20000 merges, heap 2155609, nbr_entries 1777598 (max deg 6094), 1343 ms
    [compact] 20006793 -> 879139 live entries after 22561 merges (2242 ms)
    [compact] 20006611 -> 871352 live entries after 24902 merges (2941 ms)
    ...25000 merges, heap 1742042, nbr_entries 1742372 (max deg 9089), 2974 ms
    [compact] 20006550 -> 864547 live entries after 27045 merges (3708 ms)
    [compact] 20003670 -> 858599 live entries after 29143 merges (4531 ms)
    ...30000 merges, heap 9122122, nbr_entries 1711590 (max deg 10795), 4787 ms
    [compact] 20010454 -> 852088 live entries after 31033 merges (5334 ms)
    [compact] 20010308 -> 844607 live entries after 32760 merges (6079 ms)
    [compact] 20009440 -> 838752 live entries after 34254 merges (6789 ms)
    ...35000 merges, heap 10720089, nbr_entries 1674240 (max deg 14634), 7133 ms
    [compact] 20008805 -> 833828 live entries after 35688 merges (7496 ms)
    [compact] 20011636 -> 828656 live entries after 37138 merges (8429 ms)
    [compact] 20006455 -> 823366 live entries after 38468 merges (9207 ms)
    [compact] 20007504 -> 819302 live entries after 39790 merges (10199 ms)
    ...40000 merges, heap 3947857, nbr_entries 1641048 (max deg 17378), 10323 ms
    [compact] 20008313 -> 815186 live entries after 41051 merges (11111 ms)
    [compact] 20009311 -> 811003 live entries after 42311 merges (12030 ms)
    [compact] 20002985 -> 806945 live entries after 43541 merges (12801 ms)
    [compact] 20012233 -> 803397 live entries after 44744 merges (13628 ms)
    ...45000 merges, heap 4939421, nbr_entries 1610550 (max deg 18834), 13760 ms
    [compact] 20007711 -> 799156 live entries after 45970 merges (14429 ms)
    [compact] 20012416 -> 795253 live entries after 47185 merges (15363 ms)
    [compact] 20010167 -> 791033 live entries after 48354 merges (16149 ms)
    [compact] 20008955 -> 787157 live entries after 49477 merges (16937 ms)
    ...50000 merges, heap 9791242, nbr_entries 1578354 (max deg 21367), 17252 ms
    [compact] 20001833 -> 782236 live entries after 50610 merges (17717 ms)
    [compact] 20004049 -> 777665 live entries after 51722 merges (18603 ms)
    [compact] 20014129 -> 773716 live entries after 52825 merges (19549 ms)
    [compact] 20002374 -> 770007 live entries after 53938 merges (20402 ms)
    ...55000 merges, heap 19217052, nbr_entries 1542792 (max deg 22538), 21129 ms
    [compact] 20013779 -> 766141 live entries after 55047 merges (21320 ms)
    [compact] 20004154 -> 760910 live entries after 56173 merges (22120 ms)
    ...60000 merges, heap 13713024, nbr_entries 1510566 (max deg 22248), 22615 ms
    [compact] 20003453 -> 745019 live entries after 61193 merges (22925 ms)
    [compact] 20003770 -> 735683 live entries after 63941 merges (23747 ms)
    ...65000 merges, heap 9303612, nbr_entries 1478158 (max deg 22183), 24055 ms
    [compact] 20000919 -> 728567 live entries after 66240 merges (24527 ms)
    [compact] 20006493 -> 722362 live entries after 68244 merges (25330 ms)
    ...70000 merges, heap 18156183, nbr_entries 1447188 (max deg 21887), 26071 ms
    [compact] 20003610 -> 716490 live entries after 70168 merges (26186 ms)
    [compact] 20000502 -> 710438 live entries after 71934 merges (27000 ms)
    [compact] 20006260 -> 705182 live entries after 73565 merges (27822 ms)
    ...75000 merges, heap 18055285, nbr_entries 1415306 (max deg 21807), 28523 ms
    [compact] 20000791 -> 700242 live entries after 75152 merges (28641 ms)
    [compact] 20011480 -> 695589 live entries after 76698 merges (29672 ms)
    [compact] 20004107 -> 690823 live entries after 78215 merges (30503 ms)
    [compact] 20012739 -> 686443 live entries after 79682 merges (31465 ms)
    ...80000 merges, heap 4913702, nbr_entries 1385394 (max deg 21704), 31615 ms
    [compact] 20011524 -> 681880 live entries after 81113 merges (32203 ms)
    [compact] 20008550 -> 677378 live entries after 82539 merges (32946 ms)
    [compact] 20009748 -> 673280 live entries after 83951 merges (33784 ms)
    ...85000 merges, heap 14885440, nbr_entries 1355558 (max deg 21526), 34346 ms
    [compact] 20003986 -> 668888 live entries after 85364 merges (34564 ms)
    [compact] 20002380 -> 664662 live entries after 86721 merges (35309 ms)
    [compact] 20007998 -> 660457 live entries after 88053 merges (36199 ms)
    [compact] 20012327 -> 656710 live entries after 89368 merges (37095 ms)
    ...90000 merges, heap 10211434, nbr_entries 1325954 (max deg 21232), 37434 ms
    [compact] 20002353 -> 652588 live entries after 90638 merges (37802 ms)
    [compact] 20007416 -> 648568 live entries after 91915 merges (38701 ms)
    [compact] 20014979 -> 645092 live entries after 93216 merges (39576 ms)
    [compact] 20005011 -> 641169 live entries after 94497 merges (40336 ms)
    ...95000 merges, heap 8427361, nbr_entries 1296860 (max deg 20997), 40600 ms
    [compact] 20002871 -> 637659 live entries after 95747 merges (41091 ms)
    [compact] 20008080 -> 634161 live entries after 96997 merges (41959 ms)
    [compact] 20000595 -> 624443 live entries after 99812 merges (42717 ms)
    ...100000 merges, heap 796381, nbr_entries 1266486 (max deg 20863), 42733 ms
    ...105000 merges, heap 11520501, nbr_entries 1235586 (max deg 20688), 43168 ms
    [compact] 20002278 -> 602272 live entries after 107037 merges (43598 ms)
    ...110000 merges, heap 18799806, nbr_entries 1203126 (max deg 20450), 44246 ms
    [compact] 20002476 -> 592031 live entries after 110175 merges (44485 ms)
    [compact] 20006274 -> 583566 live entries after 112938 merges (45339 ms)
    ...115000 merges, heap 15330184, nbr_entries 1172876 (max deg 20168), 45816 ms
    [compact] 20005668 -> 575519 live entries after 115681 merges (46123 ms)
    [compact] 20001744 -> 567289 live entries after 118397 merges (46875 ms)
    ...120000 merges, heap 12831454, nbr_entries 1142070 (max deg 19850), 47255 ms
    [compact] 20000462 -> 559642 live entries after 120880 merges (47558 ms)
    [compact] 20001166 -> 552991 live entries after 123109 merges (48721 ms)
    ...125000 merges, heap 5545329, nbr_entries 1115086 (max deg 19728), 48901 ms
    ...130000 merges, heap 13608715, nbr_entries 1086380 (max deg 19218), 49183 ms
    [compact] 20003821 -> 529574 live entries after 131779 merges (49543 ms)
    ...135000 merges, heap 6369368, nbr_entries 1057536 (max deg 18836), 49737 ms
    ...140000 merges, heap 9946586, nbr_entries 1026574 (max deg 18601), 49866 ms
    ...145000 merges, heap 12923831, nbr_entries 1002200 (max deg 18396), 50048 ms
    ...150000 merges, heap 17625299, nbr_entries 974906 (max deg 18279), 50353 ms
    [compact] 20000664 -> 474586 live entries after 151592 merges (50503 ms)
    ...155000 merges, heap 6303071, nbr_entries 944052 (max deg 18105), 50688 ms
    ...160000 merges, heap 9481696, nbr_entries 918740 (max deg 18040), 50835 ms
    ...165000 merges, heap 19980988, nbr_entries 892280 (max deg 17924), 51206 ms
    [compact] 20000490 -> 438308 live entries after 165023 merges (51275 ms)
    ...170000 merges, heap 5471573, nbr_entries 871446 (max deg 17691), 51486 ms
    ...175000 merges, heap 7393794, nbr_entries 844984 (max deg 17509), 51570 ms
    ...180000 merges, heap 10222030, nbr_entries 819890 (max deg 17340), 51727 ms
    ...185000 merges, heap 13673253, nbr_entries 794376 (max deg 17131), 51866 ms
    ...190000 merges, heap 16639329, nbr_entries 768914 (max deg 16803), 51992 ms
    ...195000 merges, heap 19063923, nbr_entries 744056 (max deg 16594), 52114 ms
    [compact] 20000015 -> 360496 live entries after 196534 merges (52229 ms)
    ...200000 merges, heap 1772061, nbr_entries 719188 (max deg 16307), 52310 ms
    ...205000 merges, heap 3789501, nbr_entries 692718 (max deg 16055), 52402 ms
    ...210000 merges, heap 5526925, nbr_entries 664926 (max deg 15822), 52479 ms
    ...215000 merges, heap 7339969, nbr_entries 638948 (max deg 15528), 52544 ms
    ...220000 merges, heap 10446049, nbr_entries 613676 (max deg 15272), 52689 ms
    ...225000 merges, heap 11852574, nbr_entries 586766 (max deg 15036), 52778 ms
    ...230000 merges, heap 13718322, nbr_entries 559120 (max deg 14779), 52865 ms
    ...235000 merges, heap 15839421, nbr_entries 530438 (max deg 14523), 52960 ms
